SLNO,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
768,2162269,No,1,30,E2,30.95,30.95,0,No,No,Male,Direct,3,INFRA,Noida,25,Joined
769,2162503,Yes,1,30,E1,13.64,9.09,-4,No,No,Male,Employee Referral,3,AXON,Noida,29,Joined
771,2162935,Yes,59,30,E2,33.33,33.33,0,No,Yes,Male,Employee Referral,10,INFRA,Noida,35,Joined
772,2163132,Yes,86,120,E2,26.51,23.95,-2.02,No,Yes,Male,Employee Referral,5,INFRA,Noida,32,Joined
773,2163175,Yes,13,30,E1,16.67,15,-1.43,No,No,Male,Direct,5,AXON,Chennai,28,Joined
774,2163284,No,0,0,E2,0,0,0,No,No,Male,Employee Referral,6,INFRA,Noida,34,Joined
775,2163368,Yes,31,30,E1,66.67,100,20,No,No,Male,Direct,1,INFRA,Noida,26,Joined
777,2163575,Yes,61,75,E2,40.35,33.33,-5,No,No,Male,Employee Referral,12,INFRA,Bangalore,35,Joined
780,2163723,Yes,22,45,E2,42.86,42.86,0,No,No,Male,Employee Referral,7,INFRA,Noida,29,Joined
782,2164010,No,14,45,E1,75.76,51.52,-13.79,No,No,Male,Direct,3,ERS,Chennai,26,Joined
785,2164318,Yes,16,30,E1,28,20,-6.25,No,Yes,Male,Direct,3,INFRA,Noida,26,Joined
786,2164359,Yes,28,45,E1,13.05,13.05,0,No,No,Female,Employee Referral,1,INFRA,Noida,25,Joined
787,2164737,No,2,0,E1,54.76,30.95,-15.38,No,No,Male,Direct,4,BFSI,Bangalore,28,Joined
788,2164746,No,1,0,E1,61.29,39.78,-13.33,No,No,Male,Direct,3,BFSI,Bangalore,24,Joined
789,2164811,Yes,111,30,E1,16.28,16.28,0,No,No,Female,Direct,3,BFSI,Bangalore,29,Not Joined
791,2165168,No,2,0,E2,15.44,15.44,0,No,Yes,Male,Direct,4,INFRA,Noida,28,Joined
792,2165190,No,5,0,E2,33.33,40,5,No,No,Male,Direct,7,INFRA,Chennai,29,Not Joined
793,2165199,No,1,30,E1,66.67,55.56,-6.67,No,No,Male,Employee Referral,3,CSMP,Noida,28,Joined
794,2165286,Yes,14,30,E1,55.56,46.67,-5.71,No,No,Male,Direct,5,ERS,Chennai,30,Joined
795,2165445,No,1,30,E1,66.67,33.33,-20,No,Yes,Male,Direct,1,INFRA,Noida,24,Joined
796,2165812,No,51,90,E1,20.31,20.31,0,No,No,Male,Employee Referral,5,BFSI,Bangalore,31,Not Joined
797,2166010,Yes,2,75,E3,-0.09,11.24,11.34,No,No,Male,Direct,8,INFRA,Noida,36,Not Joined
800,2166380,Yes,87,90,E2,34.48,46.55,8.97,No,No,Male,Direct,4,INFRA,Chennai,28,Joined
803,2166511,No,3,0,E3,28.21,41.03,10,No,Yes,Male,Direct,6,INFRA,Noida,30,Joined
804,2166676,No,4,30,E1,33.33,52.22,14.17,No,Yes,Female,Employee Referral,3,ERS,Noida,28,Joined
805,2166822,No,16,30,E1,0,0,0,No,No,Male,Employee Referral,2,INFRA,Noida,25,Joined
806,2167220,No,6,30,E1,3.33,-8.33,-11.29,No,No,Female,Agency,2,INFRA,Noida,24,Joined
808,2167555,No,1,0,E2,52.19,52.19,0,No,Yes,Male,Direct,3,INFRA,Noida,28,Joined
809,2167868,No,5,30,E1,20,-4,-20,No,Yes,Male,Direct,2,INFRA,Noida,31,Joined
810,2167973,Yes,4,30,E1,63.27,42.86,-12.5,No,No,Female,Employee Referral,4,AXON,Noida,29,Not Joined
812,2168323,Yes,36,45,E2,50,40,-6.67,No,Yes,Male,Employee Referral,3,INFRA,Noida,32,Joined
813,2168387,No,0,45,E1,111.11,111.11,0,No,Yes,Male,Employee Referral,2,ERS,Bangalore,24,Joined
814,2168583,Yes,0,0,E2,45.16,45.16,0,No,Yes,Male,Direct,6,CSMP,Noida,33,Joined
815,2168773,No,27,30,E2,15,0,-13.04,No,Yes,Male,Agency,10,AXON,Noida,36,Joined
816,2169589,Yes,1,30,E2,66.67,66.67,0,No,No,Male,Direct,3,INFRA,Noida,30,Joined
817,2169623,No,6,60,E1,47.73,31.82,-10.77,No,No,Male,Agency,3,ERS,Chennai,25,Not Joined
818,2169631,No,5,60,E2,29.03,109.68,62.5,No,No,Female,Employee Referral,3,INFRA,Noida,28,Joined
819,2169842,No,11,30,E1,23.08,20,-2.5,No,No,Male,Direct,4,AXON,Bangalore,34,Joined
820,2169873,No,0,0,E2,19.98,-10.01,-25,No,Yes,Male,Direct,7,INFRA,Noida,39,Joined
821,2169991,Yes,62,75,E2,37.5,137.5,72.73,No,Yes,Female,Direct,4,INFRA,Noida,29,Joined
822,2170117,Yes,63,90,E1,32.65,32.65,0,No,No,Male,Direct,4,BFSI,Bangalore,27,Joined
823,2170209,No,1,0,E2,27.78,18.89,-6.96,No,Yes,Male,Direct,7,INFRA,Chennai,34,Joined
824,2170273,Yes,50,30,E1,25,13.64,-9.09,No,No,Male,Employee Referral,3,BFSI,Bangalore,26,Joined
826,2170379,Yes,40,90,E2,30.78,30.78,0,No,No,Male,Direct,8,INFRA,Chennai,31,Joined
827,2170460,No,8,30,E1,42.86,19.05,-16.67,No,No,Male,Employee Referral,5,CSMP,Noida,33,Joined
828,2170535,Yes,66,60,E1,70.73,58.54,-7.14,Yes,No,Male,Direct,4,ERS,Chennai,26,Joined
829,2170647,No,74,90,E1,66.67,50,-10,No,No,Male,Employee Referral,5,ERS,Chennai,30,Joined
831,2170735,No,0,30,E1,35.09,45.61,7.79,No,No,Male,Employee Referral,4,AXON,Noida,31,Not Joined
834,2171021,Yes,23,30,E2,29.03,29.03,0,No,Yes,Male,Direct,5,INFRA,Noida,30,Joined
835,2171091,No,32,60,E2,23.46,74.9,41.67,No,No,Male,Agency,6,INFRA,Noida,32,Joined
836,2171108,No,0,90,E3,23.53,35.29,9.52,No,No,Male,Employee Referral,5,INFRA,Noida,28,Joined
837,2171315,No,10,30,E2,42.86,57.14,10,No,No,Male,Direct,6,INFRA,Noida,32,Joined
838,2171367,Yes,6,30,E1,33.33,28.89,-3.33,No,No,Male,Direct,3,ERS,Noida,25,Joined
840,2171465,Yes,11,60,E1,76.47,76.47,0,No,No,Male,Direct,3,ERS,Chennai,25,Not Joined
842,2171501,No,6,30,E1,80.56,80.56,0,No,Yes,Male,Direct,3,CSMP,Noida,27,Joined
843,2171677,No,6,0,E2,38.46,31.08,-5.33,No,Yes,Male,Direct,10,ERS,Chennai,33,Joined
844,2171814,No,1,0,E3,22.73,36.36,11.11,No,Yes,Male,Direct,8,INFRA,Noida,33,Joined
845,2172103,No,7,30,E1,3.95,3.95,0,No,Yes,Male,Direct,1,INFRA,Noida,23,Joined
846,2172167,No,55,75,E2,11.11,11.11,0,No,No,Male,Employee Referral,7,ETS,Chennai,33,Joined
847,2172847,No,43,75,E2,12.5,7.5,-4.44,No,No,Male,Employee Referral,6,ERS,Chennai,30,Not Joined
848,2172869,Yes,51,120,E2,44.41,44.41,0,No,No,Male,Employee Referral,7,INFRA,Chennai,28,Not Joined
849,2172971,Yes,6,30,E1,15.38,13.46,-1.67,No,No,Female,Employee Referral,3,CSMP,Noida,27,Joined
850,2173123,No,1,30,E2,17.27,72.73,47.29,No,No,Male,Direct,5,ETS,Noida,28,Joined
852,2173398,No,3,30,E2,40,48,5.71,No,No,Male,Direct,3,INFRA,Noida,26,Joined
853,2173534,No,0,30,E2,33.33,100,50,No,No,Female,Direct,3,INFRA,Noida,25,Joined
854,2173551,No,0,0,E2,28.21,21.79,-5,No,Yes,Male,Employee Referral,4,INFRA,Noida,30,Joined
856,2173671,Yes,43,60,E2,50,60,6.67,No,Yes,Male,Direct,4,INFRA,Noida,25,Joined
857,2173909,Yes,95,120,E2,13.89,36.11,19.51,No,No,Male,Direct,7,AXON,Kolkata,33,Joined
858,2174437,Yes,52,30,E1,33.33,17.78,-11.67,No,Yes,Male,Direct,3,ERS,Noida,27,Joined
859,2174468,No,11,90,E1,53.85,47.44,-4.17,No,No,Male,Direct,3,ERS,Chennai,26,Joined
860,2174971,Yes,21,30,E1,30.95,30.95,0,No,No,Male,Direct,3,BFSI,Bangalore,27,Joined
861,2175038,No,3,30,E1,62.16,48.65,-8.33,No,No,Male,Direct,6,ERS,Bangalore,29,Joined
862,2175130,Yes,31,45,E1,3.9,42.86,37.5,No,Yes,Male,Direct,1,INFRA,Chennai,24,Joined
863,2175243,No,1,30,E2,4,-31.84,-34.46,No,No,Male,Direct,9,ERS,Chennai,34,Joined
865,2175474,No,25,60,E3,33.33,31.67,-1.25,No,No,Male,Direct,8,INFRA,Noida,33,Joined
867,2175602,No,77,90,E1,54.76,54.76,0,No,No,Male,Direct,4,CSMP,Chennai,27,Joined
870,2175902,No,27,45,E1,42.86,42.86,0,No,No,Male,Direct,0,INFRA,Chennai,27,Joined
877,2176574,Yes,2,0,E1,25,30,4,No,Yes,Male,Direct,4,AXON,Noida,32,Joined
878,2176613,Yes,98,90,E2,-8.16,42.86,55.56,No,Yes,Male,Direct,10,AXON,Noida,37,Joined
879,2176764,Yes,7,120,E2,49.5,41.2,-5.56,No,No,Male,Direct,6,AXON,Kolkata,33,Joined
880,2176768,Yes,19,30,E1,38.89,11.11,-20,No,No,Male,Direct,3,AXON,Kolkata,29,Joined
882,2177093,Yes,5,75,E1,28.85,25,-2.99,No,Yes,Male,Employee Referral,3,EAS,Noida,27,Joined
884,2177281,Yes,57,60,E1,46.44,35.98,-7.14,Yes,Yes,Male,Direct,4,ERS,Chennai,28,Joined
885,2177421,No,1,0,E3,53.85,53.85,0,No,Yes,Male,Employee Referral,7,INFRA,Noida,33,Joined
886,2177539,No,12,60,E1,32.65,32.65,0,No,No,Male,Employee Referral,3,BFSI,Chennai,26,Not Joined
887,2177575,No,1,0,E1,46.67,44,-1.82,No,No,Male,Agency,1,INFRA,Noida,25,Joined
889,2177940,No,0,30,E1,13.46,34.56,18.6,No,No,Male,Employee Referral,3,CSMP,Gurgaon,28,Joined
890,2178561,No,0,30,E2,36.36,29.87,-4.76,No,No,Male,Direct,10,INFRA,Noida,32,Joined
891,2178570,Yes,5,30,E1,25,33.33,6.67,No,No,Male,Direct,1,INFRA,Noida,24,Joined
893,2178642,No,10,30,E1,33.33,20,-10,No,No,Male,Direct,1,INFRA,Noida,24,Joined
894,2178776,No,0,0,E1,50,20,-20,No,No,Male,Direct,1,INFRA,Noida,28,Joined
895,2178863,Yes,63,30,E1,68.54,57.3,-6.67,No,No,Female,Direct,5,EAS,Chennai,30,Joined
896,2178970,Yes,38,30,E2,40,25,-10.71,No,No,Male,Direct,5,INFRA,Noida,33,Joined
897,2179012,No,2,0,E1,30.95,30.95,0,No,Yes,Male,Employee Referral,4,EAS,Chennai,27,Joined
898,2179114,No,33,45,E1,43.23,11.98,-21.82,No,No,Male,Employee Referral,3,CSMP,Noida,29,Joined
899,2179353,No,2,0,E3,31.58,31.58,0,No,Yes,Male,Employee Referral,11,INFRA,Bangalore,45,Joined
900,2179394,Yes,36,45,E1,33.33,31.11,-1.67,No,No,Male,Direct,4,ERS,Noida,26,Joined
901,2179445,No,1,30,E1,36.36,20.25,-11.82,No,No,Male,Direct,2,INFRA,Noida,26,Joined
902,2179498,Yes,77,90,E1,22.55,22.55,0,No,No,Male,Direct,4,CSMP,Noida,27,Joined
903,2179527,Yes,58,60,E1,66.67,50,-10,No,No,Female,Direct,3,ERS,Pune,27,Joined
904,2179588,Yes,18,30,E1,42.86,26.53,-11.43,No,No,Female,Employee Referral,3,EAS,Noida,28,Joined
905,2179606,No,34,30,E1,4.17,10.42,6,No,No,Female,Direct,4,CSMP,Noida,27,Joined
906,2179672,No,1,60,E1,50.54,35.48,-10,No,No,Male,Direct,4,CSMP,Gurgaon,30,Not Joined
907,2179820,No,1,45,E1,63.27,45.92,-10.63,No,No,Male,Employee Referral,3,BFSI,Bangalore,28,Not Joined
908,2179918,No,1,0,E1,33.33,18.33,-11.25,No,No,Male,Employee Referral,3,BFSI,Chennai,27,Joined
909,2179990,Yes,7,30,E1,9.09,12.73,3.33,No,No,Female,Employee Referral,5,AXON,Bangalore,29,Joined
910,2180100,Yes,22,45,E2,14.29,14.29,0,No,No,Male,Direct,8,ERS,Bangalore,31,Joined
911,2180139,Yes,55,90,E2,26.9,26.9,0,No,No,Male,Direct,8,EAS,Chennai,40,Joined
912,2180161,Yes,57,75,E2,40.85,54.93,10,No,Yes,Male,Direct,6,ERS,Chennai,29,Joined
914,2180284,Yes,9,30,E1,33.33,8.33,-18.75,No,No,Male,Direct,3,ERS,Noida,28,Joined
915,2180317,Yes,37,0,E1,8.06,8.06,0,No,Yes,Male,Direct,4,ETS,Bangalore,28,Joined
916,2180334,No,6,30,E2,63.64,83.64,12.22,No,No,Male,Employee Referral,9,ERS,Chennai,33,Joined
918,2180560,No,10,60,E2,59.45,48.06,-7.14,No,No,Male,Direct,9,ERS,Bangalore,35,Not Joined
919,2180598,No,0,0,E2,21.54,29.23,6.33,No,No,Male,Direct,6,INFRA,Chennai,30,Joined
920,2180658,Yes,26,30,E1,32,28,-3.03,No,No,Male,Direct,1,INFRA,Noida,26,Joined
921,2180940,Yes,87,60,E2,30,27.27,-2.1,No,No,Male,Employee Referral,6,INFRA,Noida,29,Joined
922,2181066,No,0,30,E2,14.29,-2.02,-14.27,No,No,Male,Direct,9,INFRA,Noida,41,Not Joined
923,2181092,No,1,0,E2,44.44,33.33,-7.69,No,No,Male,Direct,5,INFRA,Noida,28,Joined
926,2181439,No,9,30,E1,40.54,40.54,0,No,No,Male,Agency,4,BFSI,Bangalore,32,Not Joined
927,2181617,No,96,120,E1,90.48,66.67,-12.5,No,Yes,Male,Direct,4,ERS,Chennai,29,Joined
928,2181704,Yes,1,30,E1,108.33,133.33,12,No,No,Male,Agency,1,ERS,Chennai,24,Joined
930,2181750,No,45,60,E2,48.44,45.31,-2.11,No,No,Male,Agency,6,ERS,Chennai,32,Joined
931,2181792,No,0,90,E2,42.31,42.31,0,No,No,Male,Direct,7,INFRA,Noida,30,Joined
932,2181793,No,0,60,E3,33.35,33.35,0,No,No,Male,Employee Referral,7,INFRA,Noida,32,Not Joined
933,2181814,No,1,30,E1,66.67,20,-28,No,No,Male,Direct,2,INFRA,Noida,25,Joined
934,2181937,No,4,30,E1,18.18,9.09,-7.69,No,No,Male,Direct,3,CSMP,Noida,26,Joined
935,2182197,Yes,18,0,E1,75,62.5,-7.14,No,No,Female,Employee Referral,4,ERS,Noida,27,Joined
936,2182277,Yes,5,60,E1,52.78,33.33,-12.73,No,No,Male,Direct,4,BFSI,Bangalore,31,Joined
937,2182596,No,2,0,E2,88.17,88.17,0,No,No,Male,Direct,3,INFRA,Noida,29,Joined
938,2182618,Yes,24,30,E1,50,65,10,No,No,Male,Direct,2,INFRA,Noida,26,Joined
940,2182825,Yes,8,75,E1,30.43,21.74,-6.67,No,No,Male,Direct,3,ERS,Chennai,25,Not Joined
941,2182884,No,26,30,E1,22.22,16.67,-4.55,No,Yes,Male,Direct,3,ERS,Chennai,26,Joined
942,2182990,No,4,30,E1,66.67,66.67,0,No,No,Female,Agency,2,ERS,Bangalore,25,Joined
943,2183010,Yes,26,45,E1,37.14,7.14,-21.88,Yes,No,Male,Direct,4,AXON,Noida,27,Joined
944,2183130,Yes,1,0,E1,60,36,-15,No,Yes,Male,Direct,3,AXON,Noida,29,Joined
945,2183143,No,59,45,E2,29.31,29.31,0,No,No,Male,Direct,12,AXON,Chennai,40,Joined
946,2183379,No,13,30,E2,71.88,50,-12.73,No,No,Male,Employee Referral,5,INFRA,Chennai,30,Joined
947,2183551,No,2,0,E1,46.67,44,-1.82,No,No,Female,Employee Referral,1,INFRA,Noida,24,Joined
948,2183846,Yes,52,60,E1,11.11,11.11,0,No,No,Male,Direct,3,BFSI,Bangalore,28,Joined
949,2183879,No,9,45,E1,33.33,-1.11,-25.83,No,No,Male,Direct,2,ERS,Noida,26,Joined
950,2183901,Yes,71,60,E1,71.43,57.14,-8.33,No,No,Male,Direct,3,AXON,Chennai,30,Joined
951,2183991,Yes,6,30,E3,5.26,5.26,0,No,Yes,Male,Direct,13,ERS,Chennai,35,Joined
952,2184018,Yes,10,30,E1,42.86,42.86,0,No,No,Male,Employee Referral,4,INFRA,Noida,27,Joined
954,2184148,Yes,19,45,E1,48.65,48.65,0,No,Yes,Male,Agency,4,ERS,Chennai,28,Joined
955,2184198,Yes,9,60,E3,60.25,31.12,-18.18,No,No,Male,Direct,9,INFRA,Noida,36,Joined
956,2184331,No,80,60,E1,38.59,27.93,-7.69,No,No,Male,Employee Referral,7,BFSI,Chennai,38,Joined
957,2184345,Yes,1,60,E2,20,33.33,11.11,No,No,Male,Direct,8,INFRA,Noida,37,Joined
959,2184452,Yes,91,120,E2,55.56,33.33,-14.29,No,No,Male,Direct,7,AXON,Noida,29,Not Joined
960,2184706,Yes,38,45,E2,47.06,26.47,-14,No,Yes,Male,Direct,4,INFRA,Noida,27,Joined
961,2184717,Yes,62,75,E2,66.67,45,-13,No,Yes,Male,Employee Referral,3,INFRA,Noida,28,Joined
962,2184967,Yes,2,0,E1,14.58,41.67,23.64,No,No,Male,Direct,4,AXON,Noida,26,Joined
963,2185071,No,26,30,E1,25,25,0,No,Yes,Male,Direct,4,ERS,Chennai,27,Joined
965,2185459,Yes,1,60,E2,38.89,37.04,-1.33,No,No,Female,Employee Referral,5,INFRA,Noida,28,Joined
966,2185479,Yes,35,60,E2,22.86,22.86,0,No,No,Male,Employee Referral,7,ERS,Noida,35,Joined
969,2185780,Yes,20,0,E1,68.78,47.68,-12.5,No,No,Male,Direct,2,ERS,Bangalore,24,Joined
970,2185799,Yes,8,30,E1,60,60,0,No,No,Male,Direct,2,ERS,Bangalore,27,Joined
971,2185971,Yes,24,30,E1,78.72,112.77,19.05,No,No,Male,Direct,3,ERS,Chennai,29,Joined
973,2186155,Yes,2,60,E1,33.33,10,-17.5,No,No,Female,Employee Referral,4,ERS,Chennai,28,Joined
974,2186204,Yes,68,30,E1,158.62,158.62,0,No,No,Female,Agency,2,ERS,Chennai,25,Joined
975,2186215,Yes,50,30,E2,122.22,94.45,-12.5,No,No,Male,Direct,2,INFRA,Noida,24,Joined
976,2186241,Yes,1,45,E2,32.17,32.17,0,No,No,Male,Direct,3,INFRA,Noida,31,Not Joined
977,2186450,Yes,12,45,E1,66.67,54.76,-7.14,No,No,Male,Employee Referral,3,CSMP,Noida,30,Joined
979,2186483,Yes,11,30,E1,122.22,100,-10,No,Yes,Male,Agency,3,ERS,Chennai,27,Joined
980,2186494,No,1,30,E1,25,50,20,No,No,Male,Employee Referral,1,INFRA,Noida,23,Joined
981,2186869,No,0,60,E2,31.92,31.92,0,No,No,Male,Direct,4,INFRA,Noida,29,Joined
982,2186972,No,2,60,E2,50,47.5,-1.67,No,No,Male,Employee Referral,8,INFRA,Noida,31,Not Joined
983,2186986,Yes,26,75,E2,42.86,42.86,0,No,No,Male,Agency,7,INFRA,Noida,31,Joined
984,2187024,No,8,60,E2,45.83,45.83,0,No,No,Male,Direct,6,INFRA,Noida,29,Joined
985,2187044,Yes,101,30,E3,31.08,23.8,-5.56,No,No,Male,Direct,8,INFRA,Chennai,31,Joined
986,2187095,No,0,0,E2,25,25,0,No,No,Male,Employee Referral,5,INFRA,Noida,31,Joined
987,2187112,No,13,30,E1,66.67,38.89,-16.67,No,Yes,Female,Direct,2,ERS,Chennai,29,Joined
989,2187308,No,2,30,E1,20,20,0,No,Yes,Male,Direct,1,INFRA,Noida,24,Joined
990,2187355,No,3,30,E2,7.83,7.83,0,No,No,Female,Direct,3,INFRA,Noida,30,Joined
991,2187545,No,1,0,E1,42.86,42.86,0,No,Yes,Male,Employee Referral,1,INFRA,Ahmedabad,25,Joined
992,2187585,Yes,57,60,E1,36.67,20,-12.2,No,No,Male,Direct,4,ERS,Bangalore,27,Joined
993,2187601,Yes,98,90,E1,41.18,37.65,-2.5,No,No,Male,Employee Referral,4,ERS,Chennai,26,Joined
994,2187626,No,0,0,E2,10,25,13.64,No,Yes,Male,Direct,5,INFRA,Chennai,28,Joined
995,2187635,No,0,0,E1,38.89,20,-13.6,No,No,Female,Agency,1,INFRA,Gurgaon,24,Joined
996,2187705,Yes,19,30,E1,15.38,26.92,10,No,Yes,Male,Direct,1,INFRA,Noida,27,Joined
997,2187909,No,2,0,E3,30,100,53.85,No,No,Male,Employee Referral,5,INFRA,Noida,33,Not Joined
998,2187922,No,6,60,E1,78.57,25,-30,No,No,Male,Direct,3,ERS,Bangalore,32,Joined
999,2188037,No,3,30,E1,104.08,104.08,0,No,No,Male,Employee Referral,3,ERS,Chennai,28,Joined
1000,2188162,No,2,60,E3,37.5,31.25,-4.55,No,No,Male,Direct,6,INFRA,Noida,26,Joined
1001,2188617,Yes,6,30,E3,0,-3.13,-3.13,No,Yes,Male,Direct,10,INFRA,Noida,39,Joined
1002,2188640,No,1,30,E2,62.5,56.25,-3.85,No,No,Male,Direct,9,BFSI,Bangalore,31,Joined
1003,2188661,No,4,90,E2,39.53,44.19,3.33,No,No,Male,Direct,3,INFRA,Noida,28,Not Joined
1005,2189313,No,0,0,E1,50,20,-20,No,No,Male,Employee Referral,1,INFRA,Chennai,23,Not Joined
1006,2189391,No,1,0,E1,50,32.27,-11.82,No,Yes,Female,Employee Referral,1,INFRA,Noida,25,Joined
1007,2189472,No,13,30,E1,42.86,21.43,-15,No,No,Male,Direct,5,ERS,Chennai,35,Joined
1008,2189480,Yes,1,30,E2,8.18,8.18,0,No,No,Male,Agency,7,ETS,Hyderabad,34,Joined
1009,2189503,No,3,30,E2,40.84,26.76,-10,No,No,Male,Employee Referral,6,INFRA,Noida,40,Joined
1010,2189516,No,0,30,E1,32,48,12.12,No,Yes,Female,Agency,2,INFRA,Bangalore,26,Joined
1011,2189775,Yes,13,60,E2,38.55,38.55,0,No,No,Male,Direct,6,ERS,Bangalore,29,Not Joined
1012,2189875,Yes,67,75,E3,42.86,42.86,0,No,Yes,Male,Employee Referral,4,INFRA,Noida,30,Joined
1013,2189953,No,3,60,E3,-9.09,-7.43,1.82,No,No,Male,Direct,9,ETS,Pune,34,Not Joined
1016,2190520,No,7,60,E3,31.72,31.72,0,No,No,Male,Direct,6,INFRA,Noida,29,Joined
1017,2190646,No,2,0,E2,34.39,32.64,-1.3,No,Yes,Male,Direct,4,INFRA,Chennai,27,Joined
1018,2190682,No,1,0,E2,55.04,40.5,-9.38,No,No,Female,Direct,5,ERS,Bangalore,33,Joined
1019,2190763,Yes,13,30,E1,45.35,45.35,0,No,No,Female,Direct,4,ERS,Bangalore,29,Joined
1020,2191532,Yes,1,30,E2,32.15,32.15,0,No,No,Male,Employee Referral,3,INFRA,Noida,28,Joined
1021,2191843,Yes,13,30,E1,47.06,52.94,4,No,No,Male,Direct,3,ERS,Chennai,26,Joined
1022,2191902,No,0,0,E1,35.27,27.54,-5.71,No,Yes,Male,Direct,1,INFRA,Noida,24,Joined
1023,2191924,No,5,30,E1,50,50,0,No,No,Male,Direct,3,BFSI,Bangalore,29,Joined
1024,2191964,Yes,66,75,E1,47.69,12.31,-23.96,No,No,Male,Employee Referral,4,AXON,Noida,28,Joined
1025,2192001,No,39,45,E3,33.33,33.33,0,No,No,Male,Direct,9,INFRA,Chennai,31,Joined
1026,2192105,Yes,1,0,E2,21.43,21.43,0,No,No,Male,Direct,7,AXON,Noida,30,Joined
1027,2192448,Yes,12,0,E1,45,45,0,No,No,Female,Direct,5,ERS,Noida,27,Joined
1028,2192493,Yes,2,30,E2,57.14,105.71,30.91,No,No,Male,Employee Referral,7,INFRA,Noida,27,Not Joined
1029,2192534,Yes,16,30,E2,33.33,-11.11,-33.33,No,Yes,Male,Direct,2,INFRA,Noida,25,Joined
1030,2192552,No,10,45,E2,84.62,84.62,0,No,No,Male,Direct,5,BFSI,Bangalore,29,Joined
1032,2192768,Yes,22,60,E2,31.25,35.94,3.57,No,No,Male,Direct,6,INFRA,Noida,29,Joined
1033,2192769,Yes,105,90,E2,42.86,57.14,10,No,No,Female,Direct,4,INFRA,Noida,30,Joined
1034,2192824,Yes,21,45,E2,86.05,62.79,-12.5,No,No,Male,Employee Referral,4,INFRA,Gurgaon,28,Not Joined
1035,2193319,No,0,0,E3,17.65,29.41,10,No,Yes,Male,Direct,6,INFRA,Chennai,27,Joined
1036,2193372,No,0,0,E3,5.88,0,-5.56,No,Yes,Male,Direct,7,INFRA,Noida,34,Joined
1037,2193455,No,1,0,E2,31.03,28.28,-2.11,No,No,Male,Direct,7,ETS,Kolkata,33,Joined
1038,2193459,Yes,79,90,E2,22.22,13.33,-7.27,No,No,Male,Direct,7,AXON,Kolkata,30,Not Joined
1040,2193568,No,1,30,E1,37.5,27.5,-7.27,No,No,Male,Direct,3,BFSI,Bangalore,36,Joined
1041,2193595,Yes,66,30,E1,76.47,64.71,-6.67,No,Yes,Male,Agency,2,AXON,Noida,27,Joined
1042,2193699,Yes,24,30,E1,30,-7.14,-28.57,No,No,Male,Agency,5,BFSI,Bangalore,46,Not Joined
1043,2194047,Yes,0,30,E3,29.29,29.29,0,No,Yes,Male,Direct,5,INFRA,Noida,31,Joined
1045,2194144,Yes,22,60,E2,30,94,49.23,No,No,Male,Employee Referral,6,INFRA,Noida,29,Joined
1046,2194172,No,1,30,E1,45.83,47.92,1.43,No,No,Male,Agency,2,CSMP,Chennai,25,Joined
1047,2194191,Yes,55,30,E1,61.29,45.16,-10,Yes,No,Male,Direct,3,ERS,Chennai,26,Joined
1048,2194204,No,15,30,E2,38.89,122.23,60,No,No,Male,Employee Referral,3,INFRA,Noida,29,Joined
1049,2194281,Yes,7,30,E1,33.33,25,-6.25,No,No,Male,Employee Referral,5,AXON,Bangalore,32,Joined
1050,2194367,Yes,29,60,E1,81.82,81.82,0,No,No,Female,Employee Referral,3,BFSI,Bangalore,26,Joined
1051,2194465,No,3,75,E3,40,34.72,-3.77,No,No,Male,Direct,8,INFRA,Bangalore,32,Not Joined
1052,2194506,Yes,21,60,E1,44.93,42.03,-2,No,No,Female,Employee Referral,3,ERS,Bangalore,28,Joined
1053,2194577,No,22,30,E2,42.5,42.5,0,No,Yes,Male,Direct,2,INFRA,Noida,27,Joined
1055,2194682,No,39,60,E1,57.14,57.14,0,No,No,Female,Direct,3,BFSI,Chennai,25,Joined
1056,2194924,Yes,68,75,E1,35.29,23.53,-8.7,No,Yes,Male,Direct,3,ERS,Chennai,25,Joined
1057,2194965,No,0,90,E2,41.89,41.89,0,No,No,Male,Agency,7,BFSI,Bangalore,30,Joined
1058,2195069,No,2,30,E1,75,8,-38.29,No,No,Female,Direct,1,INFRA,Noida,25,Joined
1059,2195146,No,0,30,E2,40.63,71.88,22.22,No,No,Male,Direct,3,INFRA,Mumbai,25,Joined
1060,2195330,No,1,0,E2,32.65,24.49,-6.15,No,No,Female,Employee Referral,6,INFRA,Chennai,27,Joined
1061,2195338,No,17,30,E1,50,6.67,-28.89,No,Yes,Male,Employee Referral,3,INFRA,Gurgaon,28,Joined
1062,2195344,Yes,32,75,E1,18.18,18.18,0,No,No,Female,Direct,2,ERS,Chennai,24,Joined
1063,2195455,No,6,0,E1,27.14,27.14,0,No,No,Female,Agency,3,ERS,Bangalore,28,Joined
1064,2195484,Yes,65,75,E3,52.38,33.33,-12.5,No,No,Male,Agency,10,INFRA,Noida,38,Joined
1065,2195573,No,4,0,E2,42.86,42.86,0,No,Yes,Male,Direct,6,INFRA,Chennai,31,Joined
1066,2195869,No,1,30,E1,13.21,13.21,0,No,No,Male,Direct,1,INFRA,Noida,26,Joined
